2018-03-15 09:47:59,674 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter/src/test/resources
2018-03-15 09:47:59,674 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of karaf-twitter
2018-03-15 09:47:59,674 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for karaf-twitter
2018-03-15 09:47:59,697 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 09:50:55,916 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-03-15 09:51:01,486 [Worker-28] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter
2018-03-15 09:51:01,487 [Worker-28] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B 
2018-03-15 09:51:17,281 [Worker-31] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-03-15 09:51:17,489 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: se172:karaf-twitter:0.0.1-SNAPSHOT @ /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter/pom.xml.
2018-03-15 09:51:17,841 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /karaf-twitter/src/main/java
2018-03-15 09:51:17,841 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /karaf-twitter/src/main/resources
2018-03-15 09:51:17,842 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /karaf-twitter/src/test/java
2018-03-15 09:51:18,402 [Worker-31] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for karaf-twitter
2018-03-15 09:51:18,406 [Worker-31] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2018-03-15 09:51:18,685 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 09:51:18,687 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 09:51:18,689 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 09:51:18,690 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter/src/test/resources
2018-03-15 09:51:18,690 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of karaf-twitter
2018-03-15 09:51:18,690 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for karaf-twitter
2018-03-15 09:51:18,695 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
